Agencia,Produto,Sentido,Volume,Data_chegada,Porto
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO DIESEL,Exp,16000.0,28/08/2025 08:18:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ETHANOL,Exp,17600.0,07/09/2025 14:00:00,Santos
NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP,OLEO DIESEL,Imp,36892.0,08/09/2025 11:30:00,Santos
TRANSATLANTICA AFRETAMENTOS E SERVICOS MARITIMOS LTDA,OLEO DIESEL,Imp,41933.0,10/09/2025 12:30:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GAS LIQUEFEITO,Imp,4000.0,14/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GAS LIQUEFEITO,Imp,5000.0,14/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,Exp,26000.0,14/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GAS LIQUEFEITO,Imp,5000.0,14/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,Exp,32000.0,14/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO DIESEL,Exp,35000.0,14/09/2025,Santos
WILHELMSEN PORT SERVICES BRASIL LTDA,GRAN.LIQUIDO NAO ESPECIF,Imp,17500.0,14/09/2025,Santos
ORION OPERACOES PORTUARIAS LTDA,ETHANOL,Exp,2400.0,14/09/2025 05:00:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,Exp,62000.0,14/09/2025 14:00:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GASOLINA COMUM,Exp,25000.0,14/09/2025 14:00:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,Exp,30000.0,15/09/2025,Santos
AGENCIA MARITIMA GRANEL LTDA.,GRAN.LIQUIDO NAO ESPECIF,Imp,8160.0,15/09/2025 06:00:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO DIESEL,Exp,45000.0,16/09/2025,Santos
ORION OPERACOES PORTUARIAS LTDA,SODA CAUSTICA,Imp,2635.0,16/09/2025 01:00:00,Santos
WILHELMSEN PORT SERVICES BRASIL LTDA,GRAN.LIQUIDO NAO ESPECIF,Imp,15000.0,17/09/2025,Santos
UNIMAR AGENCIAMENTOS MARITIMOS LTDA,GRAN.LIQUIDO NAO ESPECIF,Exp,23352.0,17/09/2025,Santos
AGENCIA MARITIMA GRANEL LTDA.,GRAN.LIQUIDO NAO ESPECIF,Imp,7200.0,18/09/2025 07:00:00,Santos
